```json
{
  "ID": 12345,
  "Age": 49,
  "Experience": 15,
  "Income": 75,
  "Income Categorical": "Medium",
  "ZIP Code": 94103,
  "Family members": 3,
  "Education": "Undergraduate",
  "Employment": "Working Professional",
  "Mortgage": 180,
  "Personal Loan": "No",
  "Securities Account": "Yes",
  "Annualized Portfolio Turnover": 12.5,
  "Cost To Equity Ratio": 2.3,
  "Amount Lost": 4500,
  "Fees Commissions Paid": 1200,
  "TD Account": "Yes",
  "Online Account": "Yes",
  "CreditCard": "Yes",
  "Net Worth": 350,
  "Investment Portfolio": 120,
  "Risk Tolerance": "Conservative",
  "Financial Goals": "Retirement",
  "Wealth Management Service Level": "Basic"
}
```
