ID,Age (in years),Experience (in years),Income (in K/year),Income Categorical,ZIP Code,Family members,Education,Employment,Mortgage,Personal Loan,Securities Account,TD Account,Online,CreditCard,Net Worth (in K$),Investment Portfolio (in K$),Risk Tolerance,Financial Goals,Wealth Management Service Level
1,25,1,49,Low,91107,4,Undergraduate,Working Professional,0,No,Yes,No,No,No,314,392,Aggressive,Retirement,Basic
2,45,19,34,Low,90089,3,Undergraduate,Working Professional,0,No,Yes,No,No,No,596,480,Moderate,Estate Planning,Premium
3,39,15,11,Low,94720,1,Undergraduate,Working Professional,0,No,No,No,No,No,196,0,Conservative,Tax Optimization,Basic
4,35,9,100,Medium,94112,1,Graduate,Working Professional,0,No,No,No,No,No,938,0,Conservative,Retirement,Premium
5,35,8,45,Low,91330,4,Graduate,Working Professional,0,No,No,No,No,Yes,641,0,Conservative,Estate Planning,Premium
6,37,13,29,Low,92121,4,Graduate,Working Professional,155,No,No,No,Yes,No,635,0,Conservative,Retirement,Premium
7,53,27,72,Medium,91711,2,Graduate,Working Professional,0,No,No,No,Yes,No,580,0,Moderate,Wealth Growth,Premium
8,50,24,22,Low,93943,1,Professional,Self-Employed,0,No,No,No,No,Yes,601,0,Moderate,Wealth Growth,Premium
9,35,10,81,Medium,90089,3,Graduate,Working Professional,104,No,No,No,Yes,No,964,0,Conservative,Education Funding,Premium
10,34,9,180,High,93023,1,Professional,Self-Employed,0,Yes,No,No,No,No,1146,0,Conservative,Education Funding,Private
11,65,39,105,High,94710,4,Professional,Retired,0,No,No,No,No,No,916,0,Conservative,Wealth Growth,Premium
12,29,5,45,Low,90277,3,Graduate,Working Professional,0,No,No,No,Yes,No,342,0,Conservative,Wealth Growth,Basic
13,48,23,114,High,93106,2,Professional,Self-Employed,0,No,Yes,No,No,No,966,285,Moderate,Wealth Growth,Premium
14,59,32,40,Low,94920,4,Graduate,Working Professional,0,No,No,No,Yes,No,669,0,Moderate,Wealth Growth,Premium
15,67,41,112,High,91741,1,Undergraduate,Retired,0,No,Yes,No,No,No,648,423,Conservative,Wealth Growth,Premium
16,60,30,22,Low,95054,1,Professional,Self-Employed,0,No,No,No,Yes,Yes,312,0,Moderate,Tax Optimization,Basic
