ID,Investment Products,Allocation (%)
15,Municipal Bonds,100
3704,Savings Account,61.83
3704,U.S. Treasury Bonds,38.17
3887,Savings Account,33.66
3887,Municipal Bonds,66.34
1232,Municipal Bonds,100
1598,U.S. Treasury Bonds,100
1610,Certificate of Deposit (CD),44.1
1610,Savings Account,55.9
244,Certificate of Deposit (CD),15.12
244,Municipal Bonds,84.88
672,Savings Account,100
915,Municipal Bonds,47.54
915,Municipal Bonds,52.46
1384,Savings Account,60.5
1384,Municipal Bonds,39.5
1412,Municipal Bonds,100
1419,U.S. Treasury Bonds,100
1816,Municipal Bonds,100
2346,Municipal Bonds,53.1
2346,U.S. Treasury Bonds,46.9
3218,Municipal Bonds,100
3348,Municipal Bonds,100
3477,Municipal Bonds,100
3502,Certificate of Deposit (CD),37.07
3502,Municipal Bonds,62.93
3782,U.S. Treasury Bonds,100
4311,Municipal Bonds,49.73
4311,Municipal Bonds,50.27
210,Municipal Bonds,60.62
210,Municipal Bonds,39.38
759,Certificate of Deposit (CD),64.37
759,Municipal Bonds,35.63
1242,Savings Account,100
1573,Savings Account,58.76
1573,Municipal Bonds,41.24
1767,Savings Account,100
2007,Municipal Bonds,30.03
2007,Savings Account,69.97
2209,Municipal Bonds,30.53
2209,U.S. Treasury Bonds,69.47
2389,Municipal Bonds,100
3432,Savings Account,23.4
3432,Municipal Bonds,76.6
3442,U.S. Treasury Bonds,100
3481,U.S. Treasury Bonds,23.16
3481,Municipal Bonds,76.84
3982,Municipal Bonds,100
4109,Municipal Bonds,100
4329,Municipal Bonds,51.25
4329,Municipal Bonds,48.75
4409,Municipal Bonds,52.82
4409,U.S. Treasury Bonds,47.18
323,Municipal Bonds,100
668,Certificate of Deposit (CD),100
1439,Municipal Bonds,43.28
1439,Municipal Bonds,56.72
1669,Municipal Bonds,100
2031,Municipal Bonds,34.44
2031,Municipal Bonds,65.56
3747,Savings Account,100
4851,Savings Account,43.11
4851,Municipal Bonds,56.89
310,Municipal Bonds,100
533,Municipal Bonds,51.37
533,U.S. Treasury Bonds,48.63
648,Municipal Bonds,23.36
648,Municipal Bonds,76.64
712,Certificate of Deposit (CD),100
937,Municipal Bonds,53.72
937,Municipal Bonds,46.28
939,Municipal Bonds,87.01
939,Municipal Bonds,12.99
1687,Municipal Bonds,50.48
1687,Municipal Bonds,49.52
1862,Municipal Bonds,100
2033,Savings Account,62.6
2033,Municipal Bonds,37.4
2151,Municipal Bonds,65.64
2151,Municipal Bonds,34.36
2400,Certificate of Deposit (CD),58.1
2400,Municipal Bonds,41.9
2759,Municipal Bonds,58.15
2759,Certificate of Deposit (CD),41.85
2957,Municipal Bonds,48.29
2957,Municipal Bonds,51.71
3007,Municipal Bonds,52.21
3007,Municipal Bonds,47.79
3232,Municipal Bonds,100
3383,U.S. Treasury Bonds,43.66
3383,Municipal Bonds,56.34
3774,Municipal Bonds,100
4001,Municipal Bonds,80.38
4001,Municipal Bonds,19.62
160,Municipal Bonds,100
284,Municipal Bonds,100
720,Municipal Bonds,100
744,Municipal Bonds,40.13
744,Municipal Bonds,59.87
1188,Municipal Bonds,100
1584,Municipal Bonds,100
1632,Municipal Bonds,100
2401,Certificate of Deposit (CD),24.77
2401,Savings Account,75.23
3465,Municipal Bonds,100
3953,Municipal Bonds,37.43
3953,Municipal Bonds,62.57
4009,Municipal Bonds,36.54
4009,Municipal Bonds,63.46
4332,Municipal Bonds,100
4424,Savings Account,100
4706,U.S. Treasury Bonds,100
94,Dividend Stock Fund,100
154,Commodities Futures,100
412,S&P 500 Index Fund,100
477,S&P 500 Index Fund,41.18
477,Corporate Bonds,58.82
614,Commodities Futures,34.49
614,Municipal Bonds,65.51
862,Commodities Futures,52.71
862,S&P 500 Index Fund,47.29
1274,Municipal Bonds,100
1445,Corporate Bonds,100
1614,Commodities Futures,33.74
1614,Municipal Bonds,66.26
1676,Municipal Bonds,23.37
1676,Municipal Bonds,76.63
2655,Municipal Bonds,63.94
2655,Dividend Stock Fund,36.06
3110,Corporate Bonds,14.45
3110,Municipal Bonds,85.55
3137,S&P 500 Index Fund,100
3919,Municipal Bonds,100
4085,Corporate Bonds,30.79
4085,Municipal Bonds,69.21
4238,Corporate Bonds,100
4383,S&P 500 Index Fund,100
4717,Commodities Futures,74.68
4717,Commodities Futures,25.32
139,Commodities Futures,29.1
139,Municipal Bonds,70.9
1001,Municipal Bonds,100
1415,Commodities Futures,100
1635,S&P 500 Index Fund,100
1990,Commodities Futures,40.72
1990,Commodities Futures,59.28
2021,Commodities Futures,30.34
2021,Commodities Futures,69.66
2350,Municipal Bonds,55.52
2350,Municipal Bonds,44.48
2719,Commodities Futures,100
3474,Commodities Futures,43.93
3474,Municipal Bonds,56.07
3989,Commodities Futures,100
4148,Commodities Futures,100
4365,Dividend Stock Fund,55.23
4365,Commodities Futures,44.77
4502,Commodities Futures,33.89
4502,Municipal Bonds,66.11
4708,Commodities Futures,100
132,Commodities Futures,100
439,Commodities Futures,100
1025,Municipal Bonds,100
1292,Commodities Futures,70.61
1292,Municipal Bonds,29.39
1484,Dividend Stock Fund,27.13
1484,Commodities Futures,72.87
2054,Commodities Futures,100
3183,Commodities Futures,100
3463,Municipal Bonds,29.64
3463,Municipal Bonds,70.36
4071,Commodities Futures,100
4249,Commodities Futures,50.93
4249,Commodities Futures,49.07
4284,Dividend Stock Fund,100
4390,Commodities Futures,100
4972,Commodities Futures,80.07
4972,Municipal Bonds,19.93
41,Dividend Stock Fund,100
635,Municipal Bonds,44.22
635,Dividend Stock Fund,55.78
748,Commodities Futures,56.04
748,Dividend Stock Fund,43.96
842,Commodities Futures,40.76
842,Commodities Futures,59.24
914,Municipal Bonds,23.76
914,Commodities Futures,76.24
1136,Commodities Futures,100
1549,Commodities Futures,39.18
1549,Municipal Bonds,60.82
1664,Municipal Bonds,100
1680,S&P 500 Index Fund,100
1801,Municipal Bonds,100
1946,Commodities Futures,35.08
1946,S&P 500 Index Fund,64.92
2063,S&P 500 Index Fund,19.05
2063,Municipal Bonds,80.95
2406,Commodities Futures,62.72
2406,Commodities Futures,37.28
2608,Municipal Bonds,36.55
2608,Municipal Bonds,63.45
2794,Municipal Bonds,74.73
2794,Commodities Futures,25.27
3048,Municipal Bonds,100
3325,Commodities Futures,100
3419,Commodities Futures,100
3438,Commodities Futures,100
3450,Corporate Bonds,100
3483,Municipal Bonds,59.94
3483,Commodities Futures,40.06
4225,Municipal Bonds,66.5
4225,Municipal Bonds,33.5
4265,Dividend Stock Fund,100
4423,Municipal Bonds,100
4622,Commodities Futures,37.06
4622,Municipal Bonds,62.94
336,Commodities Futures,100
483,S&P 500 Index Fund,58.5
483,Commodities Futures,41.5
719,Commodities Futures,100
1039,Municipal Bonds,100
1293,Commodities Futures,100
1510,Municipal Bonds,19.84
1510,Municipal Bonds,80.16
1593,Municipal Bonds,39.86
1593,Dividend Stock Fund,60.14
1596,Commodities Futures,23.96
1596,Commodities Futures,76.04
1640,Municipal Bonds,100
